
Epoch 1:
features.5.0.bn1.weight: max=0.005965, mean=0.001401
features.5.0.bn1.bias: max=0.003890, mean=0.000936
features.5.0.conv2.weight: max=0.000376, mean=0.000029
features.5.0.bn2.weight: max=0.002468, mean=0.000668
features.5.0.bn2.bias: max=0.003212, mean=0.001010
classifier.weight: max=0.029413, mean=0.005809
classifier.bias: max=0.009085, mean=0.004852

Epoch 8:
features.0.0.weight: max=0.196036, mean=0.030651
features.0.0.bias: max=0.000000, mean=0.000000
features.0.1.weight: max=0.062255, mean=0.011398
features.0.1.bias: max=0.036621, mean=0.009549
features.1.0.weight: max=0.020004, mean=0.002323
features.1.0.bias: max=0.000000, mean=0.000000
features.1.1.weight: max=0.032662, mean=0.009241
features.1.1.bias: max=0.019359, mean=0.005785
features.2.0.weight: max=0.016193, mean=0.001106
features.2.0.bias: max=0.000000, mean=0.000000
features.2.1.weight: max=0.036542, mean=0.006972
features.2.1.bias: max=0.033572, mean=0.006318
features.3.0.weight: max=0.006915, mean=0.000477
features.3.0.bias: max=0.000000, mean=0.000000
features.3.1.weight: max=0.026824, mean=0.005701
features.3.1.bias: max=0.018311, mean=0.003446
features.4.0.conv1.weight: max=0.003610, mean=0.000217
features.4.0.bn1.weight: max=0.016740, mean=0.004137
features.4.0.bn1.bias: max=0.013284, mean=0.003130
features.4.0.conv2.weight: max=0.002623, mean=0.000126
features.4.0.bn2.weight: max=0.009014, mean=0.002101
features.4.0.bn2.bias: max=0.008589, mean=0.002070
features.5.0.conv1.weight: max=0.001714, mean=0.000076
features.5.0.bn1.weight: max=0.015533, mean=0.001990
features.5.0.bn1.bias: max=0.008096, mean=0.001288
features.5.0.conv2.weight: max=0.000674, mean=0.000040
features.5.0.bn2.weight: max=0.004421, mean=0.001094
features.5.0.bn2.bias: max=0.005854, mean=0.001906
classifier.weight: max=0.049974, mean=0.007661
classifier.bias: max=0.015824, mean=0.005856

Epoch 9:
features.0.0.weight: max=0.286032, mean=0.041694
features.0.0.bias: max=0.000000, mean=0.000000
features.0.1.weight: max=0.080638, mean=0.012766
features.0.1.bias: max=0.040319, mean=0.010086
features.1.0.weight: max=0.039053, mean=0.002462
features.1.0.bias: max=0.000000, mean=0.000000
features.1.1.weight: max=0.032042, mean=0.008059
features.1.1.bias: max=0.022230, mean=0.006306
features.2.0.weight: max=0.014262, mean=0.001046
features.2.0.bias: max=0.000000, mean=0.000000
features.2.1.weight: max=0.023566, mean=0.006928
features.2.1.bias: max=0.016795, mean=0.005095
features.3.0.weight: max=0.009131, mean=0.000467
features.3.0.bias: max=0.000000, mean=0.000000
features.3.1.weight: max=0.025871, mean=0.004926
features.3.1.bias: max=0.010125, mean=0.002924
features.4.0.conv1.weight: max=0.005445, mean=0.000204
features.4.0.bn1.weight: max=0.025821, mean=0.003974
features.4.0.bn1.bias: max=0.014302, mean=0.002877
features.4.0.conv2.weight: max=0.003480, mean=0.000110
features.4.0.bn2.weight: max=0.011768, mean=0.001714
features.4.0.bn2.bias: max=0.008193, mean=0.001628
features.5.0.conv1.weight: max=0.002162, mean=0.000060
features.5.0.bn1.weight: max=0.010486, mean=0.001560
features.5.0.bn1.bias: max=0.006249, mean=0.001009
features.5.0.conv2.weight: max=0.000743, mean=0.000032
features.5.0.bn2.weight: max=0.003896, mean=0.000868
features.5.0.bn2.bias: max=0.005564, mean=0.001404
classifier.weight: max=0.048657, mean=0.005964
classifier.bias: max=0.014955, mean=0.004390

Epoch 10:
features.0.0.weight: max=0.220827, mean=0.038741
features.0.0.bias: max=0.000000, mean=0.000000
features.0.1.weight: max=0.047698, mean=0.013154
features.0.1.bias: max=0.043065, mean=0.011737
features.1.0.weight: max=0.032504, mean=0.003269
features.1.0.bias: max=0.000000, mean=0.000000
features.1.1.weight: max=0.039809, mean=0.012332
features.1.1.bias: max=0.033679, mean=0.009358
features.2.0.weight: max=0.016095, mean=0.001536
features.2.0.bias: max=0.000000, mean=0.000000
features.2.1.weight: max=0.036448, mean=0.010298
features.2.1.bias: max=0.035241, mean=0.008635
features.3.0.weight: max=0.010683, mean=0.000643
features.3.0.bias: max=0.000000, mean=0.000000
features.3.1.weight: max=0.028633, mean=0.007325
features.3.1.bias: max=0.012341, mean=0.004092
features.4.0.conv1.weight: max=0.006332, mean=0.000275
features.4.0.bn1.weight: max=0.039725, mean=0.005672
features.4.0.bn1.bias: max=0.025302, mean=0.003938
features.4.0.conv2.weight: max=0.003451, mean=0.000145
features.4.0.bn2.weight: max=0.011292, mean=0.002546
features.4.0.bn2.bias: max=0.008886, mean=0.002466
features.5.0.conv1.weight: max=0.002109, mean=0.000090
features.5.0.bn1.weight: max=0.018076, mean=0.002642
features.5.0.bn1.bias: max=0.009665, mean=0.001518
features.5.0.conv2.weight: max=0.000955, mean=0.000052
features.5.0.bn2.weight: max=0.006644, mean=0.001539
features.5.0.bn2.bias: max=0.007455, mean=0.002436
classifier.weight: max=0.090158, mean=0.012164
classifier.bias: max=0.025741, mean=0.008992

Epoch 11:
features.0.0.weight: max=0.096139, mean=0.016340
features.0.0.bias: max=0.000000, mean=0.000000
features.0.1.weight: max=0.013141, mean=0.003357
features.0.1.bias: max=0.012732, mean=0.003083
features.1.0.weight: max=0.008059, mean=0.000809
features.1.0.bias: max=0.000000, mean=0.000000
features.1.1.weight: max=0.011141, mean=0.003472
features.1.1.bias: max=0.008423, mean=0.002514
features.2.0.weight: max=0.004006, mean=0.000359
features.2.0.bias: max=0.000000, mean=0.000000
features.2.1.weight: max=0.007968, mean=0.002391
features.2.1.bias: max=0.009806, mean=0.002468
features.3.0.weight: max=0.002916, mean=0.000156
features.3.0.bias: max=0.000000, mean=0.000000
features.3.1.weight: max=0.009229, mean=0.001873
features.3.1.bias: max=0.004587, mean=0.001309
features.4.0.conv1.weight: max=0.001384, mean=0.000074
features.4.0.bn1.weight: max=0.018384, mean=0.001662
features.4.0.bn1.bias: max=0.012536, mean=0.001309
features.4.0.conv2.weight: max=0.000867, mean=0.000043
features.4.0.bn2.weight: max=0.003641, mean=0.000690
features.4.0.bn2.bias: max=0.003018, mean=0.000642
features.5.0.conv1.weight: max=0.000522, mean=0.000026
features.5.0.bn1.weight: max=0.004238, mean=0.000701
features.5.0.bn1.bias: max=0.002521, mean=0.000492
features.5.0.conv2.weight: max=0.000262, mean=0.000013
features.5.0.bn2.weight: max=0.002247, mean=0.000412
features.5.0.bn2.bias: max=0.002254, mean=0.000616
classifier.weight: max=0.017392, mean=0.002499
classifier.bias: max=0.006031, mean=0.001861

Epoch 12:
features.0.0.weight: max=0.017233, mean=0.003116
features.0.0.bias: max=0.000000, mean=0.000000
features.0.1.weight: max=0.002269, mean=0.000830
features.0.1.bias: max=0.002810, mean=0.000720
features.1.0.weight: max=0.002442, mean=0.000204
features.1.0.bias: max=0.000000, mean=0.000000
features.1.1.weight: max=0.003515, mean=0.000725
features.1.1.bias: max=0.001582, mean=0.000483
features.2.0.weight: max=0.001206, mean=0.000105
features.2.0.bias: max=0.000000, mean=0.000000
features.2.1.weight: max=0.003654, mean=0.000634
features.2.1.bias: max=0.001808, mean=0.000509
features.3.0.weight: max=0.000852, mean=0.000048
features.3.0.bias: max=0.000000, mean=0.000000
features.3.1.weight: max=0.002743, mean=0.000595
features.3.1.bias: max=0.001352, mean=0.000329
features.4.0.conv1.weight: max=0.000363, mean=0.000022
features.4.0.bn1.weight: max=0.002403, mean=0.000415
features.4.0.bn1.bias: max=0.001078, mean=0.000298
features.4.0.conv2.weight: max=0.000282, mean=0.000013
features.4.0.bn2.weight: max=0.001265, mean=0.000229
features.4.0.bn2.bias: max=0.000730, mean=0.000190
features.5.0.conv1.weight: max=0.000150, mean=0.000008
features.5.0.bn1.weight: max=0.000991, mean=0.000204
features.5.0.bn1.bias: max=0.000636, mean=0.000129
features.5.0.conv2.weight: max=0.000065, mean=0.000004
features.5.0.bn2.weight: max=0.000505, mean=0.000127
features.5.0.bn2.bias: max=0.000612, mean=0.000208
classifier.weight: max=0.005325, mean=0.001173
classifier.bias: max=0.001918, mean=0.000863

Epoch 13:
features.0.0.weight: max=0.230686, mean=0.031699
features.0.0.bias: max=0.000000, mean=0.000000
features.0.1.weight: max=0.031357, mean=0.009728
features.0.1.bias: max=0.024644, mean=0.011272
features.1.0.weight: max=0.018519, mean=0.002487
features.1.0.bias: max=0.000000, mean=0.000000
features.1.1.weight: max=0.041379, mean=0.010875
features.1.1.bias: max=0.033502, mean=0.007607
features.2.0.weight: max=0.010676, mean=0.001115
features.2.0.bias: max=0.000000, mean=0.000000
features.2.1.weight: max=0.043128, mean=0.008439
features.2.1.bias: max=0.033156, mean=0.007819
features.3.0.weight: max=0.005722, mean=0.000475
features.3.0.bias: max=0.000000, mean=0.000000
features.3.1.weight: max=0.026026, mean=0.005812
features.3.1.bias: max=0.017497, mean=0.003581
features.4.0.conv1.weight: max=0.004699, mean=0.000219
features.4.0.bn1.weight: max=0.022554, mean=0.004325
features.4.0.bn1.bias: max=0.017075, mean=0.003259
features.4.0.conv2.weight: max=0.003757, mean=0.000130
features.4.0.bn2.weight: max=0.020809, mean=0.002843
features.4.0.bn2.bias: max=0.012416, mean=0.002332
features.5.0.conv1.weight: max=0.002256, mean=0.000079
features.5.0.bn1.weight: max=0.010215, mean=0.002162
features.5.0.bn1.bias: max=0.007313, mean=0.001424
features.5.0.conv2.weight: max=0.001011, mean=0.000048
features.5.0.bn2.weight: max=0.008433, mean=0.001653
features.5.0.bn2.bias: max=0.007500, mean=0.002260
classifier.weight: max=0.097134, mean=0.011121
classifier.bias: max=0.028917, mean=0.008241

Epoch 14:
features.0.0.weight: max=0.350737, mean=0.074813
features.0.0.bias: max=0.000000, mean=0.000000
features.0.1.weight: max=0.057650, mean=0.015730
features.0.1.bias: max=0.057833, mean=0.016363
features.1.0.weight: max=0.041387, mean=0.003544
features.1.0.bias: max=0.000000, mean=0.000000
features.1.1.weight: max=0.055268, mean=0.015929
features.1.1.bias: max=0.042666, mean=0.012414
features.2.0.weight: max=0.020637, mean=0.001656
features.2.0.bias: max=0.000000, mean=0.000000
features.2.1.weight: max=0.044248, mean=0.010396
features.2.1.bias: max=0.039192, mean=0.009490
features.3.0.weight: max=0.014764, mean=0.000697
features.3.0.bias: max=0.000000, mean=0.000000
features.3.1.weight: max=0.042451, mean=0.008187
features.3.1.bias: max=0.021013, mean=0.004900
features.4.0.conv1.weight: max=0.007327, mean=0.000338
features.4.0.bn1.weight: max=0.060857, mean=0.007460
features.4.0.bn1.bias: max=0.039516, mean=0.005796
features.4.0.conv2.weight: max=0.004971, mean=0.000195
features.4.0.bn2.weight: max=0.018154, mean=0.003583
features.4.0.bn2.bias: max=0.011811, mean=0.002870
features.5.0.conv1.weight: max=0.002377, mean=0.000119
features.5.0.bn1.weight: max=0.016265, mean=0.002979
features.5.0.bn1.bias: max=0.008436, mean=0.001758
features.5.0.conv2.weight: max=0.001159, mean=0.000064
features.5.0.bn2.weight: max=0.007930, mean=0.001741
features.5.0.bn2.bias: max=0.008282, mean=0.002769
classifier.weight: max=0.074383, mean=0.010474
classifier.bias: max=0.027429, mean=0.007010

Epoch 15:
features.0.0.weight: max=0.220773, mean=0.035096
features.0.0.bias: max=0.000000, mean=0.000000
features.0.1.weight: max=0.070447, mean=0.014622
features.0.1.bias: max=0.040097, mean=0.010456
features.1.0.weight: max=0.035099, mean=0.003613
features.1.0.bias: max=0.000000, mean=0.000000
features.1.1.weight: max=0.052026, mean=0.014819
features.1.1.bias: max=0.033635, mean=0.009966
features.2.0.weight: max=0.019647, mean=0.001814
features.2.0.bias: max=0.000000, mean=0.000000
features.2.1.weight: max=0.059814, mean=0.010657
features.2.1.bias: max=0.029753, mean=0.008137
features.3.0.weight: max=0.009688, mean=0.000783
features.3.0.bias: max=0.000000, mean=0.000000
features.3.1.weight: max=0.038616, mean=0.009362
features.3.1.bias: max=0.022181, mean=0.005501
features.4.0.conv1.weight: max=0.006177, mean=0.000368
features.4.0.bn1.weight: max=0.030206, mean=0.006566
features.4.0.bn1.bias: max=0.026182, mean=0.005105
features.4.0.conv2.weight: max=0.003452, mean=0.000206
features.4.0.bn2.weight: max=0.017772, mean=0.003869
features.4.0.bn2.bias: max=0.015248, mean=0.003800
features.5.0.conv1.weight: max=0.002105, mean=0.000130
features.5.0.bn1.weight: max=0.021877, mean=0.003446
features.5.0.bn1.bias: max=0.013579, mean=0.002390
features.5.0.conv2.weight: max=0.001487, mean=0.000069
features.5.0.bn2.weight: max=0.009250, mean=0.002323
features.5.0.bn2.bias: max=0.011594, mean=0.003528
classifier.weight: max=0.107985, mean=0.016963
classifier.bias: max=0.039670, mean=0.012497

Epoch 16:
features.0.0.weight: max=0.361306, mean=0.052556
features.0.0.bias: max=0.000000, mean=0.000000
features.0.1.weight: max=0.056460, mean=0.012288
features.0.1.bias: max=0.052762, mean=0.011136
features.1.0.weight: max=0.032389, mean=0.002846
features.1.0.bias: max=0.000000, mean=0.000000
features.1.1.weight: max=0.032989, mean=0.009924
features.1.1.bias: max=0.027463, mean=0.009283
features.2.0.weight: max=0.013552, mean=0.001181
features.2.0.bias: max=0.000000, mean=0.000000
features.2.1.weight: max=0.031502, mean=0.008775
features.2.1.bias: max=0.036240, mean=0.007796
features.3.0.weight: max=0.007149, mean=0.000544
features.3.0.bias: max=0.000000, mean=0.000000
features.3.1.weight: max=0.027214, mean=0.006871
features.3.1.bias: max=0.018033, mean=0.004010
features.4.0.conv1.weight: max=0.004052, mean=0.000260
features.4.0.bn1.weight: max=0.035561, mean=0.005156
features.4.0.bn1.bias: max=0.025300, mean=0.004150
features.4.0.conv2.weight: max=0.004182, mean=0.000144
features.4.0.bn2.weight: max=0.012242, mean=0.002192
features.4.0.bn2.bias: max=0.009158, mean=0.002272
features.5.0.conv1.weight: max=0.002300, mean=0.000082
features.5.0.bn1.weight: max=0.023330, mean=0.002539
features.5.0.bn1.bias: max=0.013714, mean=0.001663
features.5.0.conv2.weight: max=0.000998, mean=0.000044
features.5.0.bn2.weight: max=0.004350, mean=0.001172
features.5.0.bn2.bias: max=0.005546, mean=0.002000
classifier.weight: max=0.059270, mean=0.008924
classifier.bias: max=0.017102, mean=0.006529

Epoch 17:
features.0.0.weight: max=0.063306, mean=0.008758
features.0.0.bias: max=0.000000, mean=0.000000
features.0.1.weight: max=0.011554, mean=0.003377
features.0.1.bias: max=0.011506, mean=0.003924
features.1.0.weight: max=0.009116, mean=0.000932
features.1.0.bias: max=0.000000, mean=0.000000
features.1.1.weight: max=0.012238, mean=0.003747
features.1.1.bias: max=0.012528, mean=0.003260
features.2.0.weight: max=0.004801, mean=0.000415
features.2.0.bias: max=0.000000, mean=0.000000
features.2.1.weight: max=0.009210, mean=0.002732
features.2.1.bias: max=0.008643, mean=0.002321
features.3.0.weight: max=0.003187, mean=0.000180
features.3.0.bias: max=0.000000, mean=0.000000
features.3.1.weight: max=0.013530, mean=0.002279
features.3.1.bias: max=0.004978, mean=0.001395
features.4.0.conv1.weight: max=0.001856, mean=0.000085
features.4.0.bn1.weight: max=0.009816, mean=0.001898
features.4.0.bn1.bias: max=0.009012, mean=0.001383
features.4.0.conv2.weight: max=0.001787, mean=0.000049
features.4.0.bn2.weight: max=0.005389, mean=0.000916
features.4.0.bn2.bias: max=0.002690, mean=0.000803
features.5.0.conv1.weight: max=0.001282, mean=0.000029
features.5.0.bn1.weight: max=0.005492, mean=0.000771
features.5.0.bn1.bias: max=0.003170, mean=0.000461
features.5.0.conv2.weight: max=0.000426, mean=0.000016
features.5.0.bn2.weight: max=0.002012, mean=0.000505
features.5.0.bn2.bias: max=0.002971, mean=0.000859
classifier.weight: max=0.023438, mean=0.003825
classifier.bias: max=0.009444, mean=0.003299

Epoch 18:
features.0.0.weight: max=0.178360, mean=0.026029
features.0.0.bias: max=0.000000, mean=0.000000
features.0.1.weight: max=0.033124, mean=0.009477
features.0.1.bias: max=0.026984, mean=0.006681
features.1.0.weight: max=0.018853, mean=0.002079
features.1.0.bias: max=0.000000, mean=0.000000
features.1.1.weight: max=0.023402, mean=0.007873
features.1.1.bias: max=0.016448, mean=0.005740
features.2.0.weight: max=0.012365, mean=0.000974
features.2.0.bias: max=0.000000, mean=0.000000
features.2.1.weight: max=0.032585, mean=0.005537
features.2.1.bias: max=0.017976, mean=0.004617
features.3.0.weight: max=0.006626, mean=0.000421
features.3.0.bias: max=0.000000, mean=0.000000
features.3.1.weight: max=0.023333, mean=0.004619
features.3.1.bias: max=0.017473, mean=0.002783
features.4.0.conv1.weight: max=0.002949, mean=0.000190
features.4.0.bn1.weight: max=0.022264, mean=0.003326
features.4.0.bn1.bias: max=0.011006, mean=0.002475
features.4.0.conv2.weight: max=0.002183, mean=0.000110
features.4.0.bn2.weight: max=0.008338, mean=0.001469
features.4.0.bn2.bias: max=0.005384, mean=0.001410
features.5.0.conv1.weight: max=0.001313, mean=0.000067
features.5.0.bn1.weight: max=0.007403, mean=0.001710
features.5.0.bn1.bias: max=0.005789, mean=0.001120
features.5.0.conv2.weight: max=0.000615, mean=0.000037
features.5.0.bn2.weight: max=0.003819, mean=0.000920
features.5.0.bn2.bias: max=0.004581, mean=0.001384
classifier.weight: max=0.031486, mean=0.006213
classifier.bias: max=0.012131, mean=0.004294

Epoch 19:
features.0.0.weight: max=0.005612, mean=0.001310
features.0.0.bias: max=0.000000, mean=0.000000
